名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
AMU PLAZA 小倉,33.886673,130.881887,購物,北九州,北九州市・小倉,"アミュプラザ小倉
小倉站直結／西館＋東館／漫畫博物館同棟
小倉站直結的購物中心，2/4 從門司港回程在小倉轉車時可順逛；同棟有北九州市漫畫博物館。
約 10:00–20:00。
營業：10:00–20:00
建議停留：1–1.5 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E5%B0%8F%E5%80%89%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E3%83%BB%E5%B0%8F%E5%80%89
旦過市場,33.881162,130.879482,購物,北九州,北九州市,"北九州的廚房／糠漬（ぬか炊き）／小倉在地小吃
小倉的百年市場，被稱作「北九州的廚房」；名物是青花魚糠漬。
多數攤 10:00–18:00、週日多休；近年火災後部分區域改建中。
建議停留：1 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%97%A6%E9%81%8E%E5%B8%82%E5%A0%B4%20%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82
湯之坪街道,33.266092,131.363212,購物,大分,由布市,"湯の坪街道
伴手禮與雜貨店／金賞可樂餅・布丁・霜淇淋／Floral Village
由布院駅到金鱗湖之間的主街，兩側都是小店與小吃，是由布院最熱鬧的一段。
⚠️ 多數店 09:00–17:30 就打烊——由布院的夜晚屬於旅館，不要指望晚上逛街。
建議停留：1.5 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%B9%AF%E3%81%AE%E5%9D%AA%E8%A1%97%E9%81%93%20%E7%94%B1%E5%B8%83%E5%B8%82
由布院 由布見通り,33.264966,131.358709,購物,大分,由布市,"由布院站前主街／正對由布岳的街景／工藝與伴手禮店
由布院站正前方的街道，正對由布岳，是湯之坪街道以外的另一條動線，人明顯比湯之坪少。
多數店 09:00–17:30。
建議停留：40 分",google,https://www.google.com/maps/search/?api=1&query=%E7%94%B1%E5%B8%83%E9%99%A2%20%E7%94%B1%E5%B8%83%E8%A6%8B%E9%80%9A%E3%82%8A%20%E7%94%B1%E5%B8%83%E5%B8%82
櫻之馬場 城彩苑,32.803671,130.703756,購物,熊本,熊本市,"桜の馬場 城彩苑
江戶風商店街／熊本鄉土料理／湧湧座（歷史文化體驗）
熊本城下的重現街區，一次吃齊馬肉、太平燕、辛子蓮根等熊本名物。
營業：09:00–18:00
建議停留：1–1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E6%A1%9C%E3%81%AE%E9%A6%AC%E5%A0%B4%20%E5%9F%8E%E5%BD%A9%E8%8B%91%20%E7%86%8A%E6%9C%AC%E5%B8%82
MARK IS 福岡ももち,33.592341,130.363893,購物,福岡,中央區・地行濱,"マークイズ福岡ももち
約 160 間店／與福岡巨蛋相鄰／屋頂庭園
百道濱一帶的大型商場，與福岡巨蛋、福岡塔在同一區，可以排成一個下午。
地鐵唐人町站步行約 10 分。約 10:00–21:00。
營業：10:00–21:00
建議停留：2 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%BC%E3%82%AF%E3%82%A4%E3%82%BA%E7%A6%8F%E5%B2%A1%E3%82%82%E3%82%82%E3%81%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%9C%B0%E8%A1%8C%E6%BF%B1
Sunny 博多駅南（24 小時）,33.583105,130.417493,購物,福岡,博多區・博多站,"サニー
⭐ 24 小時營業，深夜或清晨都能買。西友系，日常品項齊全——住有廚房的房型時最實用的一間。
距東急ステイ博多約 430m／步行約 5 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：24 小時
建議停留：20–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%8B%E3%83%BC%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
ふくや 中洲本店,33.592051,130.408074,購物,福岡,博多區,"辛子明太子的創始店，伴手禮首選，可試吃比較辣度。
冷藏品要注意回程時間；機場也有分店但本店品項最全。
營業：08:00–24:00
建議停留：30 分",google,https://www.google.com/maps/search/?api=1&query=%E3%81%B5%E3%81%8F%E3%82%84%20%E4%B8%AD%E6%B4%B2%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
ららぽーと福岡,33.564772,130.44032,購物,福岡,博多區・竹下,"等身大 RX-93ff ν 鋼彈立像／約 220 間店／美食廣場
2022 年開幕的大型購物中心，門口有全球唯一的等身大 ν 鋼彈立像（會動、有燈光演出），是福岡新的打卡點。
JR 竹下站步行約 10 分，或博多站搭巴士約 15 分；鋼彈演出時刻表在官網公告。約 10:00–21:00。
營業：10:00–21:00
建議停留：2–3 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%82%89%E3%81%BD%E3%83%BC%E3%81%A8%E7%A6%8F%E5%B2%A1%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E7%AB%B9%E4%B8%8B
セブン-イレブン（博多駅南）,33.584211,130.419241,購物,福岡,博多區・博多站,"セブン-イレブン
7-11 的 ATM 對台灣的卡片相容性最好，需要提現時來這家。
距東急ステイ博多約 226m／步行約 3 分（實測直線距離）。座標來自 OSM 節點。
營業：OSM 未記錄（多為 24 小時，現場確認）
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%82%BB%E3%83%96%E3%83%B3-%E3%82%A4%E3%83%AC%E3%83%96%E3%83%B3%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
